Trip ID,Vehicle No.,Vehicle Type,Fuel Type,Running Distance (km),Total Distance (km),Route Efficiency (Running/Total),EF_CO2 (kg/km),EF_CH4 (kg/km),EF_N2O (kg/km),CO2 (kg),CH4 (kg),N2O (kg),CO2e (kg)
A-T-DOD-3925,NL01G7634,HGV,DIESEL,1504.59,1607.72,0.936,0.803,4.4e-05,4.4e-05,1208.19,0.0662,0.0662,1227.58
A-T-DOD-3918,RJ06FC0709,HGV,DIESEL,943.76,1589.94,0.594,0.803,4.4e-05,4.4e-05,757.84,0.04153,0.04153,770.01
A-T-DOD-3915,RJ06GC0709,HGV,DIESEL,1580.94,1589.94,0.994,0.803,4.4e-05,4.4e-05,1269.49,0.06956,0.06956,1289.88
A-T-DOD-3914,RJ06FC0709,HGV,DIESEL,943.76,1589.94,0.594,0.803,4.4e-05,4.4e-05,757.84,0.04153,0.04153,770.01
A-T-DOD-3247,RJ06FC0709,HGV,DIESEL,943.76,1589.94,0.594,0.803,4.4e-05,4.4e-05,757.84,0.04153,0.04153,770.01
A-T-DOD-3241,RJ06FC0709,HGV,DIESEL,1655.31,1589.94,1.041,0.803,4.4e-05,4.4e-05,1329.21,0.07283,0.07283,1350.55
A-T-DOD-A9737,MH12UM5111,LGV,DIESEL,214.56,1597.45,0.134,0.3355,2.2e-05,2.2e-05,71.98,0.00472,0.00472,73.37
A-T-DOD-A8418,DD01H9259,HGV,DIESEL,323.19,332.98,0.971,0.803,4.4e-05,4.4e-05,259.52,0.01422,0.01422,263.69
A-T-DOD-A7934,AP02TB0748,MGV,DIESEL,75.09,226.45,0.332,0.649,3.3e-05,3.3e-05,48.73,0.00248,0.00248,49.46
A-T-DOD-A6744,GJ06BV3470,HGV,DIESEL,1163.18,1161.54,1.001,0.803,4.4e-05,4.4e-05,934.03,0.05118,0.05118,949.03
A-T-DOD-B6115,AP39TC8988,HGV,DIESEL,31.75,472.25,0.067,0.803,4.4e-05,4.4e-05,25.5,0.0014,0.0014,25.9
A-T-DOD-B3211,GJ27TT4090,LGV,DIESEL,208.95,950.87,0.22,0.3355,2.2e-05,2.2e-05,70.1,0.0046,0.0046,71.45
A-T-DOD-C9712,MH03ES1467,MGV,DIESEL,1043.03,1045.9,0.997,0.649,3.3e-05,3.3e-05,676.93,0.03442,0.03442,687.01
A-T-DOD-C9697,MH03ES1467,MGV,DIESEL,1043.03,1045.9,0.997,0.649,3.3e-05,3.3e-05,676.93,0.03442,0.03442,687.01
